MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym
7818|close (eyes), shut|VrugT|||||
7819|begin, set about, start|VrugI|||||
7820|go away, become more distant, fade away, die away|VrugI|||||
7821|be estranged|VrugI|||||
7822|seclude oneself, shut oneself away|VrugI|||||
7823|spring, jump up, fly up, skip|VrugI|||||
7824|engage in, participate in, take part in, be involved in|VrugI|||||
7825|be furnished with, be provided with, be equipped with|VrugI|||||
7826|be possessed of, be endowed with, be gifted with|VrugI|||||
7827|be among, be one of|VrugI|||||
7828|be dyed|VrugI|||||
7829|be tainted, be infected, be stained, be steeped|VrugI|||||
7830|narrow, contract|VrugI|||||
7831|perceive, sense, discern|VrugT|||||
7832|understand, comprehend, realize|VrugT|||||
7833|attain enlightenment|VrugT;ZB|||||
7834|hesitate, hold back, balk, falter|VrugI|||||
7835|be reluctant, be unwilling, begrudge|VrugI|||||
7836|have loose painful bowel movement, suffer from tenesmus|VrugI|||||
7837|cling to, hang onto|VrugI|||||
7838|rely on, depend on|VrugI|||||
7839|implore, entreat|VrugI|||||
7840|warp, curve, arch|VrugI|||||
7841|bend backward (body or body part|VrugI|||||
7842|take advantage (of somebody's weaknesses, carelessness, etc.), impose on|VrugI|||||
7843|be doing, be in the process of doing|VrugI|||||
7844|pile up and up, pile up more and more, mount (e.g. debts, concerns)|VrugI|||||
7845|be amused (by, at), wonder at|VrugI|||||
7846|look stern|VrugI|||||
7847|be highhanded, be arrogant, be overbearing|VrugI|||||
7848|be talked about, get a name for oneself, get publicity|VrugI|||||
7849|get into an argument, come to discuss|VrugI|||||
7850|be controversial (usu. as an adjectival phrase), be contentious|VrugI|||||
7851|dwell, live, remain|VrugI|||||
7852|stay at, take shelter at, stop at, lodge at|VrugI|||||
7853|be pregnant|VrugI|||||
7854|be part of a constellation|VrugI|||||
7855|be a parasite (bugs, plants, etc.)|VrugI|||||
7856|take away, carry away|VrugT|||||
7857|boil up, seethe|VrugI|||||
7858|get excited, be in an uproar|VrugI|||||
7859|manage, supervise, oversee, command|VrugT|||||
7860|crack down on, keep under strict control, enforce, regulate|VrugT|||||
7861|manage, control, supervise, oversee, command|VrugT|||||
7862|rule, govern, administer|VrugT|||||
7863|become settled, be fixed|VrugI|||||
7864|interrupt, obstruct (a view, someone's way, etc.), block (light, wind, etc.), intercept, cut off|VrugT|||||
7865|give (polite, speaker is the recipient or his relative), please|VaruT|||||
7866|give, confer, bestow|VaruI|||||
7867|kindly do for one, oblige, favour, favor|VaruI|||||
7868|exist|VaruI|||||
7869|come, go, be (somewhere)|VaruI|||||
7870|say|VaruT|||||
7871|be (archaic)|VaruI|||||
7872|do, request|VaruT|||||
7873|be, come, go|VaruI|||||
7874|come, go, be (somewhere)|VaruI|||||
7875|see, look, watch|VaruI|||||
7876|stand, rise, stand up|VtsuI|||||
7877|find oneself (e.g. in a difficult position)|VtsuI|||||
7878|depart (on a plane, train, etc.)|VtsuI|||||
7879|expect|VtsuT|||||
7880|await, look forward to, anticipate|VtsuI|||||
7881|depend on, need|VtsuI|||||
7882|win, gain victory|VtsuI|||||
7883|hold (in one's hand), take, carry|VtsuT|||||
7884|possess, have, own|VtsuT|||||
7885|maintain, keep|VtsuT|||||
7886|last, be durable, keep, survive|VtsuT|||||
7887|take charge of, be in charge of|VtsuT|||||
7888|pass (of time), elapse|VtsuI|||||
7889|strike (someone, noon, etc.), beat (a drum, rhythmically, etc.)|VtsuT|||||
7890|hit, strike, knock, beat, punch, slap, tap, bang, clap, pound|VtsuT|||||
7891|strike (noon, etc.), sound (cymbals, etc.), beat (a drum, etc.)|VtsuT|||||
7892|beat (rhythmically, e.g. pulse, waves, etc.)|VtsuT|||||
7893|move, impress, touch|VtsuT|||||
7894|drive in, hammer in, put in, inject|VtsuT|||||
7895|type, send, transmit|VtsuT|||||
7896|insert, write in, mark|VtsuT|||||
7897|make (noodles, etc.), prepare|VtsuT|||||
7898|till (soil)|VtsuT|||||
7899|sprinkle, throw, cast|VtsuT|||||
7900|do, carry out, play, perform, engage in (gambling, etc.)|VtsuT|||||
7901|pay (a deposit, etc.)|VtsuT|||||
7902|visit (on a pilgrimage)|VtsuT|||||
7903|line (a coat)|VtsuT|||||
7904|bind (a criminal)|VtsuT|||||
7905|attract attention, be conspicuous, stand out|VtsuI|||||
7906|be raised (e.g. child), be brought up, grow (up)|VtsuI|||||
7907|cut (cloth)|VtsuT|||||
7908|sever, cut off|VtsuT|||||
7909|suppress, eradicate, exterminate|VtsuT|||||
7910|abstain (from), give up|VtsuT|||||
7911|be erected, be built|VtsuI|||||
7912|rise up, initiate (political) action|VtsuI|||||
7913|have an erection|VtsuI|||||
7914|be full, wax (e.g. moon), rise (e.g. tide), mature, expire|VtsuI|||||
7915|shoot (at)|VtsuT|||||
7916|attack, defeat, destroy, avenge|VtsuI|||||
7917|consist of, be made up of, be composed of, be practical (logical, feasible, viable)|VtsuI|||||
7918|be concluded (e.g. of an agreement), hold true (e.g. of a theory), be valid|VtsuI|||||
7919|be viable (of a business, lifestyle, etc.), carry on, keep going|VtsuI|||||
7920|conquer (e.g. an enemy), defeat, overcome (a difficulty)|VtsuT|||||
7921|keep, preserve, hold, retain, maintain, support, sustain, last, endure, keep well (food), wear well, be durable|VtsuT|||||
7922|be useful, be helpful, serve the purpose|VtsuI|||||
7923|begin a trip, embark|VtsuI|||||
7924|die, pass away, depart this life|VtsuI|||||
7925|begin a trip, depart, embark|VtsuI|||||
7926|be prominent, be conspicuous|VtsuI|||||
7927|hit (a person), strike, beat|VtsuT|||||
7928|deliver (a speech), give (an address)|VtsuT|||||
7929|take (be in) charge of|VtsuT|||||
7930|fire (gun, shoot, hit (e.g. baseball), break wind|VtsuT|||||
7931|set free, release, let loose|VtsuT|||||
7932|emit (e.g. light), give off (e.g. a scent)|VtsuT|||||
7933|send out (a person to carry out a duty)|VtsuT|||||
7934|set fire to|VtsuT|||||
7935|accept somebody's challenge, take up the gauntlet|VtsuI|||||
7936|stand all around (e.g. bamboo, pines, pampas grass)|VtsuI|||||
7937|become public, be known|VtsuI|||||
7938|divide, separate|VtsuT|||||
7939|share, distribute|VtsuT|||||
7940|distinguish|VtsuT|||||
7941|receive, take, accept|VuT|||||
7942|get somebody to do something|VuI|||||
7943|express|VuT|||||
7944|say, utter, declare|VuI|||||
7945|name, call|VuI|||||
7946|go (e.g. "the alarm went ping"), make a noise|VuI|||||
7947|ask, inquire, hear, be told, implore, seek direction|VuT|||||
7948|visit, speak (a large crowd)|VuI|||||
7949|buy, purchase|VuT|||||
7950|value, have a high opinion|VuT|||||
7951|stir, provoke, draw upon oneself|VuT|||||
7952|plan (do)|VuT|||||
7953|think (of doing), plan (to do)|VuT|||||
7954|judge, assess, regard|VuT|||||
7955|imagine, suppose, dream|VuT|||||
7956|expect, look forward to|VuT|||||
7957|feel, be (in a state of mind), desire, want|VuT|||||
7958|recall, remember|VuT|||||
7959|think, consider, believe, reckon|VuT|||||
7960|pay attention|VuI|||||
7961|pay (e.g. money, bill)|VuT|||||
7962|brush off, wipe away, clear away, dust off, cut off (e.g. branches)|VuT|||||
7963|drive away (e.g. one's competitors)|VuT|||||
7964|sell off (something unneeded), dispose of|VuT|||||
7965|pay (e.g. attention), show (e.g. respect, concern)|VuT|||||
7966|make (e.g. effort, sacrifice), expend, exert|VuT|||||
7967|move out (of one's own place), vacate|VuT|||||
7968|sweep (e.g. one's legs), knock aside|VuT|||||
7969|make a sweeping stroke (in Japanese calligraphy)|VuT|||||
7970|reset (an abacus)|VuT|||||
7971|meet, encounter, see|VuI|ME#0243;0244||||
7972|have an accident, have a bad experience|VuI|||||
7973|do ... each other|VuT|||||
7974|come together, merge, unite, meet|VuI|||||
7975|fit, match, suit, agree with, be correct|VuI|||||
7976|be profitable, be equitable|VuI|||||
7977|do ... to each other, do ... together|VuI|||||
7978|be wrong|VuI|||||
7979|differ (from), vary|VuI|||||
7980|not be in the usual condition|VuI|||||
7981|not match the correct (answer, etc.)|VuI|||||
7982|be different from promised|VuI|||||
7983|use (a thing, method, person, time, money, language), put use, operate|VuT|||||
7984|use (a thing, method, etc.), make use of, put to use|VuT|||||
7985|use (a person, animal, puppet, etc.), employ, handle, manage, manipulate|VuT|||||
7986|use (time, money, etc.), spend, consume|VuT|||||
7987|use (language), speak|VuT|||||
7988|suck in|VuT|||||
7989|smoke, breathe in, inhale|VuT|||||
7990|suck, sip, slurp|VuT|||||
7991|absorb, soak up|VuT|||||
7992|kiss|VuT|||||
7993|take lessons in, be taught, learn (from a teacher), study (under a teacher), get training in|VuT|||||
7994|invite, ask, call (for), tempt, lure, induce|VuT|||||
7995|bring a close, close (a business, etc.), close down, shut down, shut up|VuT|||||
7996|finish, stop, end, put an end to, bring to a close|VuT|||||
7997|put away, put back, keep, store|VuT|||||
7998|finish ..., do ... completely|VuI|||||
7999|ask after (health)|VuT|||||
8000|ask after (someone's health), visit|VuT|||||
8001|attack, strike, meet with misfortune, suffer an attack|VuT|||||
8002|get lost, lose one's way, waver, hesitate, be perplexed, be puzzled, give in temptation, lose control of oneself, turn in one's grave|VuI|||||
8003|pick up, find, gather, get (a taxi)|VuI|||||
8004|do up (hair), braid, fasten, fix|VuT|||||
8005|celebrate, congratulate, observe (a festival)|VuT|||||
8006|present (a gift) in celebration, drink in celebration|VuT|||||
8007|wish for (a happy future, good fortune, etc.), pray for|VuT|||||
8008|protect someone, take under one's wing, plead for, stick up for, cover up for someone|VuT|||||
8009|care (for, about), prepare for, interfere with, meddle in|VuT|||||
8010|mind, care about, be concerned about, have a regard for|VuI|||||
8011|be an issue, matter, create inconvenience|VuI|||||
8012|keep company, care for, look after, entertain, pay attention to, spend time with|VuI|||||
8013|tease|VuT|||||
8014|banish, prohibit|VuT|||||
8015|come true (wish), be suited to, bear (e.g. I can't bear the heat)|VuI|||||
8016|come true (of a wish, prayer, etc.), be realized, be fulfilled|VuI|||||
8017|suit (e.g. a purpose), meet (wishes, ideals, etc.), conform to (standards, rules, etc.), be consistent with|VuI|||||
8018|match (implies competition), rival, bear (e.g. the heat)|VuI|||||
8019|ridicule, tease, mock, chaff, razz, banter with, make fun of, poke fun at, make cracks about|VuT|||||
8020|worry about, feel anxious about, have apprehensions of|VuI|||||
8021|cross each other, run counter to, differ, clash, go awry, disagree|VuI|||||
8022|make a mistake, be incorrect, be mistaken|VuI|||||
8023|turn toward|VuI|||||
8024|face|VuI|||||
8025|go towards, head towards|VuI|||||
8026|combat, struggle against, engage in contest|VuI|||||
8027|make war (on), wage war (against), go to war (with), fight (with), do battle (against)|VuI|||||
8028|compete (against)|VuI|||||
8029|struggle (against adversities, etc.), fight, contend, resist|VuI|||||
8030|take part in|VuT|||||
8031|help, assist, aid|VuT|||||
8032|contribute to, be a factor in|VuT|||||
8033|sing (one's praises in a poem, etc.), compose a poem, recite a poem|VuT|||||
8034|lose, part with|VuT|||||
8035|doubt, distrust, be suspicious of, suspect|VuT|||||
8036|express, state, insist, stipulate|VuI|||||
8037|laugh|VuI|||||
8038|smile|VuI|||||
8039|sneer, ridicule|VuI|||||
8040|be dumbfounded, be flabbergasted|VuI|||||
8041|attend (school, church, etc.)|VuI|||||
8042|go to and from (a place), go back and forth between, run between (e.g. bus, train, etc.), ply between|VuI|||||
8043|go to (school, work, etc.), attend, commute, frequent|VuI|||||
8044|circulate (e.g. blood, electricity), be communicated (e.g. thought)|VuI|||||
8045|resemble|VuI|||||
8046|attack, assail, make an assault, strike, hunt down, succeed (someone in a post, role, etc.), make a sudden visit|VuT|||||
8047|follow (i.e. a set order, a trend), drive (i.e. a herd), be pressed (for time, etc. in passive voice)|VuT|||||
8048|chase, run after, pursue, follow after|VuT|||||
8049|follow (a set order, a trend, etc.)|VuT|||||
8050|drive out, get rid of, oust, expel|VuT|||||
8051|drive (e.g. a herd)|VuT|||||
8052|be pressed (e.g. for time)|VuT|||||
8053|aim at|VuT|||||
8054|employ, hire, charter|VuT|||||
8055|get seasick|VuI|||||
8056|get drunk, become intoxicated|VuI|||||
8057|feel sick (e.g. in a vehicle), become nauseated|VuI|||||
8058|be elated, be exalted, be spellbound, be in raptures|VuI|||||
8059|go mad|VuI|||||
8060|get out of order, go amiss|VuI|||||
8061|scoop, ladle out|VuT|||||
8062|wipe, get rid of, eliminate (e.g. one's shame), remove (e.g. an impression), erase|VuT|||||
8063|redeem (one's faults)|VuT|||||
8064|make up for, compensate for, indemnify, recompense, redeem (e.g. a fault), atone for|VuT|||||
8065|deprecate, traduce|VuI|||||
8066|sneer, ridicule|VuI|||||
8067|bear, carry on one's back, take responsibility for, accept a duty, be injured, owe|VuT|||||
8068|grow, spring up (archaic), cut (teeth)|VuT|||||
8069|rescue from, help out of, save|VuT|||||
8070|build (a nest), nest, haunt (a place), hang out (somewhere)|VuI|||||
8071|think, consider, believe (esp. heartfeltedly)|VuT|||||
8072|wash, investigate|VuT|||||
8073|be fragrant, smell (good)|VuI|||||
8074|stink, smell (bad)|VuI|||||
8075|glow, be bright|VuI|||||
8076|smack of, show hints of|VuI|||||
8077|stink, smell (bad)|VuI|||||
8078|peep (through), peep, examine (esp. covertly), await (one's chance), guess, infer, gather, surmise|VuT|||||
8079|rage, run amok, run amuck, tear around|VuI|||||
8080|do something completely|VuT||Colloquialism.|||
8081|run around trying escape|VuI|||||
8082|perform, do, conduct oneself, carry out|VuT|||||
8083|taste, savor, savour, relish|VuT|||||
8084|appreciate, enjoy, relish, digest|VuT|||||
8085|experience, go through, taste (e.g. victory), know (e.g. pain)|VuT|||||
8086|go against, oppose, disobey, defy|VuI|||||
8087|discuss, talk together|VuT|||||
8088|have something done for oneself|VuT|||||
8089|desire, wish, hope|VuT|||||
8090|beg, request, implore, pray|VuT|||||
8091|pay|VuT|||||
8092|suit, match, become, be like|VuI|||||
8093|hate, dislike, loathe|VuT|||||
8094|cover, hide, conceal, wrap, disguise|VuI|||||
8095|hesitate, waver|VuI|||||
8096|tell someone's fortune, forecast, predict, divine|VuT|||||
8097|deny (e.g. evidence, usu. in negative form)|VuI|||||
8098|compete, contest, contend|VuI|||||
8099|quarrel, argue, dispute, be at variance, oppose|VuI|||||
8100|deny (e.g. evidence)|VuI|||||
8101|be burdened with, take responsibility for, carry on back or shoulder|VuT|||||
8102|carry on one's back|VuT|||||
8103|have (something) in the background, be in front (of something)|VuT|||||
8104|be conceited, think highly of oneself|VuI|||||
8105|compensate for, supplement|VuT|||||
8106|pass by one another, disagree, miss each other|VuI|||||
8107|meet, encounter (undesirably), have an accident, have a bad experience|VuI|||||
8108|be ready, be prepared, be arranged|VuI|||||
8109|be in order, be put in order, be well-ordered, be well-proportioned, be harmonious|VuI|||||
8110|be adjusted, be regulated, be refined (e.g. of a face)|VuI|||||
8111|be settled (e.g. treaty, contract), be completed|VuI|||||
8112|become complete, be all present, be a full set, have everything at one's disposal, be equal, be uniform, gather, assemble|VuI|||||
8113|creep, crawl|VuI|||||
8114|behave, conduct oneself, entertain, treat someone (a drink), make tea for someone (tea ceremony)|VuT|||||
